id,diseaseName,severity,xCoord,yCoord
1,Early blight,20.25,0,1
2,Esca (Black Measles),76.0,0,2
3,Healthy,40.65,0,3
4,Healthy,94.11,0,4
5,Healthy,32.21,1,1
6,Healthy,58.54,1,2
7,Septoria leaf spot,63.66,1,3
8,Healthy,92.57,1,4
9,Healthy,64.54,2,1
10,Bacterial spot,79.17,2,2
11,Healthy,46.71,2,3
12,Haunglongbing (Citrus greening),97.45,2,4
13,Tomato mosaic virus,87.37,3,1
14,Haunglongbing (Citrus greening),22.5,3,2
15,Haunglongbing (Citrus greening),57.52,3,3
16,Septoria leaf spot,26.49,3,4
17,Healthy,78.17,4,1
18,Esca (Black Measles),87.84,4,2
19,Late blight,80.57,4,3
20,Late blight,77.34,4,4
